crr_Nom;psu_Nem;psu_Leng;psu_Mate;psu_Cie;psu_Pond;Longitud;Latitud;cred_apr;distancia;F;M;PARTICULAR_SUBVENCIONADO;PARTICULAR_PAGADO;MUNICIPAL;cluster
INGENIERIA CIVIL MECANICA;620;605;725;630;667;-73,0464155;-36,829532;33;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL;805;703;740;671;740;-73,0464155;-36,829532;33;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL;785;691;737;652;729;-73,0464155;-36,829532;33;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL INDUSTRIAL;663;786;719;601;695;-73,0464155;-36,829532;32;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL;599;668;811;666;715;-73,0464155;-36,829532;31;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL ELECTRONICA;661;733;811;622;733;-73,0464155;-36,829532;30;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL;702;634;743;668;704;-73,0464155;-36,829532;30;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL MECANICA;672;615;735;679;686;-73,0464155;-36,829532;30;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL BIOMEDICA;616;759;696;657;670;-73,0464155;-36,829532;30;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL MECANICA;682;641;681;623;668;-73,0464155;-36,829532;30;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL - PLAN COMUN;558;633;679;675;641;-73,0464155;-36,829532;30;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL INFORMATICA;723;697;732;714;723;-73,0464155;-36,829532;29;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL INDUSTRIAL;686;598;728;552;676;-73,0464155;-36,829532;29;0,913203;1;0;0;1;0;2
INGENIERIA CIVIL METALURGICA;680;607;630;639;653;-73,0464155;-36,829532;28;0,913203;1;0;0;1;0;2
INGENIERIA CIVIL QUIMICA;764;655;728;606;708;-73,0464155;-36,829532;28;0,913203;0;1;0;1;0;2
